symbol,is_russell3000,is_russell1000,is_russell2000,is_sp500,is_nasdaq100,is_custom
DCI,1,1,0,0,0,0
DCO,1,0,1,0,0,0
DCOM,1,0,1,0,0,0
DCTH,0,0,1,0,0,0
DD,1,1,0,0,0,0
DDD,1,0,1,0,0,0
DDOG,1,1,0,0,1,0
DDS,1,1,0,0,0,0
DE,1,1,0,1,0,0
DEA,1,0,1,0,0,0
DEC,1,0,1,0,0,0
DECK,1,1,0,0,0,0
DEI,1,0,1,0,0,0
DELL,1,1,0,0,0,0
DERM,0,0,1,0,0,0
DFH,1,0,1,0,0,0
DFIN,1,0,1,0,0,0
DFTX,1,0,1,0,0,0
DG,1,1,0,0,0,0
DGICA,1,0,1,0,0,0
DGII,1,0,1,0,0,0
DGX,1,1,0,0,0,0
DH,1,0,1,0,0,0
DHC,1,0,1,0,0,0
DHI,1,1,0,0,0,0
DHIL,1,0,1,0,0,0
DHR,1,1,0,1,0,0
DHT,1,0,1,0,0,0
DIN,1,0,1,0,0,0
DINO,1,1,0,0,0,0
DIOD,1,0,1,0,0,0
DIS,1,1,0,1,0,0
DJCO,1,0,1,0,0,0
DJT,1,1,0,0,0,0
DK,1,0,1,0,0,0
DKNG,1,1,0,0,0,0
DKS,1,1,0,0,0,0
DLB,1,1,0,0,0,0
DLR,1,1,0,0,0,0
DLTR,1,1,0,0,1,0
DLX,1,0,1,0,0,0
DMAC,0,0,1,0,0,0
DMRC,1,0,1,0,0,0
DNA,0,0,1,0,0,0
DNLI,1,0,1,0,0,0
DNOW,1,0,1,0,0,0
DNTH,1,0,1,0,0,0
DNUT,1,0,1,0,0,0
DOC,1,1,0,0,0,0
DOCN,1,0,1,0,0,0
DOCS,1,1,0,0,0,0
DOCU,1,1,0,0,0,0
DOLE,1,0,1,0,0,0
DOMO,1,0,1,0,0,0
DORM,1,0,1,0,0,0
DOUG,0,0,1,0,0,0
DOV,1,1,0,0,0,0
DOW,1,1,0,0,0,0
DOX,1,1,0,0,0,0
DPZ,1,1,0,0,0,0
DRH,1,0,1,0,0,0
DRI,1,1,0,0,0,0
DRS,1,1,0,0,0,0
DRUG,1,0,1,0,0,0
DRVN,1,0,1,0,0,0
DSGN,1,0,1,0,0,0
DSGR,1,0,1,0,0,0
DSP,1,0,1,0,0,0
DT,1,1,0,0,0,0
DTE,1,1,0,0,0,0
DTM,1,1,0,0,0,0
DUK,1,1,0,1,0,0
DUOL,1,1,0,0,0,0
DV,1,1,0,0,0,0
DVA,1,1,0,0,0,0
DVN,1,1,0,0,0,0
